Code	English	日本語
1634486a8a	Abandon	奔放
587a8a	Adapt	適応
0949	Advance	前進
49676a898a	Again	再び
010512233445	All	全
67697a	Answer	答
06092649	Attack	攻撃
05061617	Avoid	避ける
0a277a	Barrier	境界
083738	Begin	始める
696a9a	Body	体
16596a9a	Breathe	呼吸
1734487a8a	Capture	キャプチャ
373a8a	Change	変える
01051638456a8a	Chaos	カオス
0a48899a	Chase	追跡
1659677889	Civilization	文明
0a3a	Clear	明快
01050a1223343a45	Close All	全閉
698a9a	Complex	複雑
2649677889	Conflict	対立
011223386a899a	Contemplate	熟考
2667	Contract	契約
497889	Courage	勇気
16486a8a	Create	創造
1216274548597a9a	Creativity	創造性
093a9a	Danger	危険
06386a8a	Data	情報
17373858	Defend	防御
38676a789a	Destiny	運命
27597a9a	Destroy	破壊
488a9a	Deteriorate	悪化
27487a8a	Die	死
16677a8a	Difficult	難しい
122334	Discover	発見
386a8a	Easy	簡単
010a17373a	End	終わり
01091223696a9a	Enlightened	エンライテンド
676989	Equal	等しい
01166989	Escape	逃避
0a899a	Evolution	進化
0a676a	Failure	失敗
176769	Fear	恐怖
061216	Follow	従う
48	Forget	忘却
162767	Future	未来
58	Gain	獲得
4989	Grow	成長
0609276a7a9a	Harm	危害
060937386a7a8a9a	Harmony	調和
387a8a	Have	持っている
59788a9a	Help	助け
16176978	Hide	隠れる
3738676989	Human	人間
363969	I	私
27	Ignore	無視
686a898a9a	Imperfect	不完全
166a7a	Improve	改善
3a898a9a	Impure	不純
163445596a9a	Journey	旅
36396a9a	Knowledge	知識
05384548	Lead	導く
6a9a	Less	減
0116496a9a	Liberate	解放
676a7a899a	Lie	嘘
17	Lose	失う
17497a9a	Message	メッセージ
383a899a	Mind	精神
7a8a	More	増
2748676989	Nature	自然
2767	New	新しい
6769	No	否
343a488a	Nourish	育てる
5989	Old	古い
373878	Open	開
010512233437384578	Open All	全開
0545	Outside	外側
485989	Past	過去
0a488a	Path	道
0a232734487a8a	Perfection	完璧
1216274548596978	Portal	ポータル
0a12277a	Potential	可能性
677889	Present	現在
0a676a7a	Pure	純粋
060959	Pursue	追究
066989	Question	問い
27697a9a	React	反応
1216586a8a	Rebel	反逆
050a599a	Recharge	リチャージ
090a383a69	Resistance	レジスタンス
2327597a9a	Restraint	抑制
0626	Retreat	退却
264969	Safety	安全
177a8a	Save	救う
09	See	見る
696a7889	Seek	探求
2334	Self	自己
2759676a898a	Separate	分離
060927486789	Shapers	シェイパー
27344878	Share	共有
78	Simple	シンプル
373a676a	Soul	心
274878	Stability	安定
67697889	Strong	強い
48696a8a9a	Together	一緒に
676a7a898a9a	Truth	真実
177a	Use	使う
6093639	Victory	勝利
373848	Want	欲
3669	We	私達
596769	Weak	弱い
67697a898a	XM	XM
070878	You	あなた
