code,memrise level,order in level,en,en alts,ja,ja alts
1634486a8a,6,9,Abandon,,奔放,
587a8a,7,5,Adapt,,適応,
0949,3,11,Advance,,前進,
49676a898a,5,1,Again,Repeat,再び,反復
010512233445,8,12,All,,全,
67697a,6,3,Answer,,答,
06092649,1,10,Attack,War,攻撃,争い
05061617,2,13,Avoid,Struggle,避ける,もがき進む
0a277a,3,9,Barrier,Obstacle,境界,障壁
083738,8,7,Begin,,始める,
696a9a,4,3,Body,Shell,体,殻
16596a9a,8,10,Breathe,,呼吸,
1734487a8a,7,11,Capture,,キャプチャ,
373a8a,2,3,Change,Modify,変える,改変
01051638456a8a,2,8,Chaos,Disorder,カオス,無秩序
0a48899a,7,7,Chase,Pursue,追跡,追う
1659677889,3,6,Civilization,"Government,City,Structure",文明,"政府,都市,構造体"
0a3a,7,14,Clear,,明快,
01050a1223343a45,8,14,Close All,,全閉,
698a9a,4,2,Complex,,複雑,
2649677889,3,2,Conflict,,対立,
011223386a899a,6,12,Contemplate,,熟考,
2667,7,4,Contract,,契約,
497889,3,3,Courage,,勇気,
16486a8a,4,14,Create,Creation,創造,創造物
1216274548597a9a,7,13,Creativity,"Mind,Thought,Idea",創造性,"精神,考え,アイデア"
093a9a,4,7,Danger,,危険,
06386a8a,5,11,Data,"Signal,Message",情報,"信号,メッセージ"
17373858,1,11,Defend,,防御,
38676a789a,4,4,Destiny,,運命,
27597a9a,4,13,Destroy,Destruction,破壊,
488a9a,6,7,Deteriorate,Erode,悪化,侵食
27487a8a,8,11,Die,,死,
16677a8a,5,6,Difficult,,難しい,
122334,2,6,Discover,,発見,
010a17373a,8,8,End,Close,終わり,閉じる
01091223696a9a,6,11,Enlightened,,エンライテンド,
676989,6,4,Equal,,等しい,
01166989,6,13,Escape,,逃避,
0a899a,2,11,Evolution,,進化,
0a676a,2,12,Failure,,失敗,
176769,3,4,Fear,,恐怖,
061216,5,15,Follow,,従う,
48,4,11,Forget,,忘却,
162767,1,7,Future,Forward-Time,未来,今後
58,4,9,Gain,,獲得,
0609276a7a9a,4,6,Harm,,危害,
060937386a7a8a9a,3,7,Harmony,Peace,調和,平和
387a8a,5,9,Have,,持っている,
59788a9a,8,1,Help,,助け,
16176978,4,5,Hide,,隠れる,
3738676989,1,12,Human,Being,人間,生命
363969,8,2,I,"Me,Self",私,"自分,自己"
27,4,12,Ignore,,無視,
166a7a,6,6,Improve,,改善,
3a898a9a,2,10,Impure,,不純,
163445596a9a,2,7,Journey,,旅,
36396a9a,8,5,Knowledge,,知識,
05384548,5,14,Lead,,導く,
6a9a,5,4,Less,,減,
0116496a9a,7,10,Liberate,,解放,
676a7a899a,1,4,Lie,,嘘,
17,4,10,Lose,,失う,
17497a9a,5,10,Message,,メッセージ,
383a899a,2,1,Mind,"Idea,Thought",精神,"アイデア,思考"
7a8a,5,3,More,,増,
2748676989,3,5,Nature,,自然,
2767,7,3,New,,新しい,
6769,6,5,No,"Not,Absent,Inside",否,"非,欠,内"
343a488a,2,4,Nourish,,育てる,
5989,7,2,Old,,古い,
373878,7,9,Open,Accept,開,受容
010512233437384578,8,13,Open All,,全開,
0545,3,10,Outside,Distance,外側,隔たり
485989,1,5,Past,,過去,
0a488a,3,8,Path,,道,
0a232734487a8a,5,12,Perfection,Balance,完璧,均衡
1216274548596978,1,8,Portal,"Opening,Doorway",ポータル,"出口,戸口"
0a12277a,5,13,Potential,,可能性,
677889,1,6,Present,Now,現在,今
0a676a7a,2,9,Pure,Purity,純粋,潔白
060959,3,13,Pursue,,追究,
066989,6,14,Question,,問い,
27697a9a,7,1,React,,反応,
1216586a8a,6,10,Rebel,,反逆,
050a599a,2,5,Recharge,,リチャージ,
090a383a69,4,8,Resistance,"Resist,Struggle",レジスタンス,"抵抗,苦闘"
2327597a9a,6,8,Restraint,,抑制,
0626,3,12,Retreat,,退却,
264969,3,1,Safety,,安全,
177a8a,5,5,Save,Rescue,救う,解放
09,7,8,See,,見る,
696a7889,1,2,Seek,Search,探求,検索
2334,8,9,Self,,自己,
2759676a898a,7,12,Separate,,分離,
060927486789,1,9,Shaper,Collective,シェイパー,全体的
27344878,5,8,Share,,共有,
78,5,2,Simple,,シンプル,
373a676a,2,2,Soul,"Spirit,Life Force",心,"魂,生命力"
274878,5,7,Stability,,安定,
67697889,6,2,Strong,,強い,
48696a8a9a,4,1,Together,,一緒に,
676a7a898a9a,1,3,Truth,,真実,
177a,7,6,Use,,使う,
6093639,8,6,Victory,,勝利,
373848,3,14,Want,,欲,
3669,8,4,We,Us,私達,我々
596769,6,1,Weak,,弱い,
67697a898a,1,1,XM,,XM,
070878,8,3,You,Other,相手,他人
